"Name","Component","Side","Centre X","Centre Y","Rotation","Required"
"D1","10MQ060N","Top","-6.970","5.164","270.00","REQUIRED"
"D2","10MQ060N","Top","-6.979","3.847","270.00","REQUIRED"
"D3","10MQ060N","Top","-6.975","2.583","270.00","REQUIRED"
"D4","10MQ060N","Top","-6.950","1.484","270.00","REQUIRED"
"D5","10MQ060N","Top","-6.945","0.214","270.00","REQUIRED"
"C4","C 100nF","Top","-7.620","4.930","0.00","REQUIRED"
"C5","C 100nF","Top","-7.505","4.820","270.00","REQUIRED"
"C6","C 100nF","Top","-7.220","4.680","180.00","REQUIRED"
"C9","C 100nF","Top","-7.628","3.614","0.00","REQUIRED"
"C10","C 100nF","Top","-7.510","3.505","270.00","REQUIRED"
"C11","C 100nF","Top","-7.229","3.364","180.00","REQUIRED"
"C14","C 100nF","Top","-7.625","2.350","0.00","REQUIRED"
"C15","C 100nF","Top","-7.510","2.240","270.00","REQUIRED"
"C16","C 100nF","Top","-7.225","2.100","180.00","REQUIRED"
"C20","C 100nF","Top","-7.600","1.250","0.00","REQUIRED"
"C21","C 100nF","Top","-7.485","1.135","270.00","REQUIRED"
"C24","C 100nF","Top","-7.200","1.000","180.00","REQUIRED"
"C28","C 100nF","Top","-7.595","-0.020","0.00","REQUIRED"
"C29","C 100nF","Top","-7.480","-0.135","270.00","REQUIRED"
"C30","C 100nF","Top","-7.195","-0.270","180.00","REQUIRED"
"C32","C 100nF","Top","-7.375","-4.485","0.00","OPTIONAL"
"C33","C 100nF","Top","-7.600","-4.900","180.00","OPTIONAL"
"C1","CAP2220","Top","-7.620","5.380","270.00","REQUIRED"
"C2","CAP2220","Top","-6.770","5.480","270.00","REQUIRED"
"C3","CAP2220","Top","-6.770","5.130","90.00","REQUIRED"
"C7","CAP2220","Top","-7.628","4.064","270.00","REQUIRED"
"C8","CAP2220","Top","-6.779","4.164","270.00","REQUIRED"
"C12","CAP2220","Top","-6.779","3.813","90.00","REQUIRED"
"C13","CAP2220","Top","-7.625","2.800","270.00","REQUIRED"
"C17","CAP2220","Top","-6.775","2.900","270.00","REQUIRED"
"C18","CAP2220","Top","-6.775","2.550","90.00","REQUIRED"
"C19","CAP2220","Top","-7.600","1.700","270.00","REQUIRED"
"C22","CAP2220","Top","-6.750","1.800","270.00","REQUIRED"
"C23","CAP2220","Top","-6.750","1.450","90.00","REQUIRED"
"C25","CAP2220","Top","-7.595","0.430","270.00","REQUIRED"
"C26","CAP2220","Top","-6.745","0.530","270.00","REQUIRED"
"C27","CAP2220","Top","-6.745","0.180","90.00","REQUIRED"
"C31","EEEFK1H101GP","Top","-7.300","-0.700","0.00","OPTIONAL"
"FS1","FUSE HOLDER OGN SM","Top","-7.750","-0.650","270.00","REQUIRED"
"J1","HDR2PINSM","Top","-6.305","5.165","270.00","REQUIRED"
"J2","HDR2PINSM","Top","-6.306","3.861","270.00","REQUIRED"
"J3","HDR2PINSM","Top","-6.303","2.588","270.00","REQUIRED"
"J4","HDR2PINSM","Top","-6.283","1.483","270.00","REQUIRED"
"J5","HDR2PINSM","Top","-6.280","0.215","270.00","REQUIRED"
"L6","L","Top","-7.525","-4.495","180.00","OPTIONAL"
"L1","L - NRS8040","Top","-7.220","5.179","270.00","REQUIRED"
"L2","L - NRS8040","Top","-7.229","3.863","270.00","REQUIRED"
"L3","L - NRS8040","Top","-7.225","2.599","270.00","REQUIRED"
"L4","L - NRS8040","Top","-7.200","1.499","270.00","REQUIRED"
"L5","L - NRS8040","Top","-7.195","0.229","270.00","REQUIRED"
"U7","LMV934MA","Top","-7.340","-4.950","0.00","OPTIONAL"
