"Ref Name","Manuf","Manuf Part No","Distrib","Distrib Part No","Required","Do not place"
"C1","TDK","C5750X7R2A475M230KA","Digikey","445-1450-1-ND","REQUIRED",""
"C2","TDK","C5750X7R2A475M230KA","Digikey","445-1450-1-ND","REQUIRED",""
"C3","TDK","C5750X7R2A475M230KA","Digikey","445-1450-1-ND","REQUIRED",""
"C4","murata","GRM188R72A104KA35D","digikey","490-3285-1-ND","REQUIRED",""
"C5","murata","GRM188R72A104KA35D","digikey","490-3285-1-ND","REQUIRED",""
"C6","murata","GRM188R72A104KA35D","digikey","490-3285-1-ND","REQUIRED",""
"C7","TDK","C5750X7R2A475M230KA","Digikey","445-1450-1-ND","REQUIRED",""
"C8","TDK","C5750X7R2A475M230KA","Digikey","445-1450-1-ND","REQUIRED",""
"C9","murata","GRM188R72A104KA35D","digikey","490-3285-1-ND","REQUIRED",""
"C10","murata","GRM188R72A104KA35D","digikey","490-3285-1-ND","REQUIRED",""
"C11","murata","GRM188R72A104KA35D","digikey","490-3285-1-ND","REQUIRED",""
"C12","TDK","C5750X7R2A475M230KA","Digikey","445-1450-1-ND","REQUIRED",""
"C13","TDK","C5750X7R2A475M230KA","Digikey","445-1450-1-ND","REQUIRED",""
"C14","murata","GRM188R72A104KA35D","digikey","490-3285-1-ND","REQUIRED",""
"C15","murata","GRM188R72A104KA35D","digikey","490-3285-1-ND","REQUIRED",""
"C16","murata","GRM188R72A104KA35D","digikey","490-3285-1-ND","REQUIRED",""
"C17","TDK","C5750X7R2A475M230KA","Digikey","445-1450-1-ND","REQUIRED",""
"C18","TDK","C5750X7R2A475M230KA","Digikey","445-1450-1-ND","REQUIRED",""
"C19","TDK","C5750X7R2A475M230KA","Digikey","445-1450-1-ND","REQUIRED",""
"C20","murata","GRM188R72A104KA35D","digikey","490-3285-1-ND","REQUIRED",""
"C21","murata","GRM188R72A104KA35D","digikey","490-3285-1-ND","REQUIRED",""
"C22","TDK","C5750X7R2A475M230KA","Digikey","445-1450-1-ND","REQUIRED",""
"C23","TDK","C5750X7R2A475M230KA","Digikey","445-1450-1-ND","REQUIRED",""
"C24","murata","GRM188R72A104KA35D","digikey","490-3285-1-ND","REQUIRED",""
"C25","TDK","C5750X7R2A475M230KA","Digikey","445-1450-1-ND","REQUIRED",""
"C26","TDK","C5750X7R2A475M230KA","Digikey","445-1450-1-ND","REQUIRED",""
"C27","TDK","C5750X7R2A475M230KA","Digikey","445-1450-1-ND","REQUIRED",""
"C28","murata","GRM188R72A104KA35D","digikey","490-3285-1-ND","REQUIRED",""
"C29","murata","GRM188R72A104KA35D","digikey","490-3285-1-ND","REQUIRED",""
"C30","murata","GRM188R72A104KA35D","digikey","490-3285-1-ND","REQUIRED",""
"C31","Panasonic","EEEFK1H101GP","digikey","PCE4323CT-ND","OPTIONAL",""
"C32","murata","GRM188R72A104KA35D","digikey","490-3285-1-ND","OPTIONAL",""
"C33","murata","GRM188R72A104KA35D","digikey","490-3285-1-ND","OPTIONAL",""
"D1","Vishay","10MQ060N","Digikey","10MQ060NPBF","REQUIRED",""
"D2","Vishay","10MQ060N","Digikey","10MQ060NPBF","REQUIRED",""
"D3","Vishay","10MQ060N","Digikey","10MQ060NPBF","REQUIRED",""
"D4","Vishay","10MQ060N","Digikey","10MQ060NPBF","REQUIRED",""
"D5","Vishay","10MQ060N","Digikey","10MQ060NPBF","REQUIRED",""
"FS1","Schurter","0031.8225","Digikey","486-1723-1-ND","REQUIRED",""
"J1","sullins connector","NPPC021KFXC-RC","digikey","S5633-ND","REQUIRED",""
"J2","sullins connector","NPPC021KFXC-RC","digikey","S5633-ND","REQUIRED",""
"J3","sullins connector","NPPC021KFXC-RC","digikey","S5633-ND","REQUIRED",""
"J4","sullins connector","NPPC021KFXC-RC","digikey","S5633-ND","REQUIRED",""
"J5","sullins connector","NPPC021KFXC-RC","digikey","S5633-ND","REQUIRED",""
"J6","","","","","NOT PLACED","DO NOT PLACE"
"J7","","","","","NOT PLACED","DO NOT PLACE"
"J8","","","","","NOT PLACED","DO NOT PLACE"
"J9","","","","","NOT PLACED","DO NOT PLACE"
"J10","","","","","NOT PLACED","DO NOT PLACE"
"L1","Taiyo Yuden","NRS8040T100MJGJV","Digikey","587-3654-1-ND","REQUIRED",""
"L2","Taiyo Yuden","NRS8040T100MJGJV","Digikey","587-3654-1-ND","REQUIRED",""
"L3","Taiyo Yuden","NRS8040T100MJGJV","Digikey","587-3654-1-ND","REQUIRED",""
"L4","Taiyo Yuden","NRS8040T100MJGJV","Digikey","587-3654-1-ND","REQUIRED",""
"L5","Taiyo Yuden","NRS8040T100MJGJV","Digikey","587-3654-1-ND","REQUIRED",""
"L6","taiyo yuden","BRC2012T2R2MD","digikey","587-2905-1-ND","OPTIONAL",""
"LED1","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED2","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED3","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED4","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED5","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED6","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED7","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED8","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED9","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED10","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED11","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED12","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED13","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED14","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED15","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED16","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED17","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED18","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED19","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED20","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED21","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED22","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED23","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED24","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED25","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED26","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED27","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED28","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED29","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED30","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED31","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED32","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED33","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED34","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED35","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED36","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED37","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED38","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED39","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED40","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED41","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED42","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED43","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED44","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED45","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED46","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED47","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED48","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED49","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED50","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED51","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED52","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED53","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED54","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED55","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED56","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED57","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED58","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED59","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED60","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED61","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED62","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED63","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED64","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED65","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED66","Philips Lumileds","LXM3-PD01","","","REQUIRED",""
"LED67","Philips Lumileds","LXML-PR01","Digikey","1416-1038-1-ND","REQUIRED",""
"LED68","Philips Lumileds","LXML-PR01","Digikey","1416-1038-1-ND","REQUIRED",""
"LED69","Philips Lumileds","LXML-PR01","Digikey","1416-1038-1-ND","REQUIRED",""
"LED70","Philips Lumileds","LXML-PR01","Digikey","1416-1038-1-ND","REQUIRED",""
"LED71","Philips Lumileds","LXML-PR01","Digikey","1416-1038-1-ND","REQUIRED",""
"LED72","Philips Lumileds","LXML-PR01","Digikey","1416-1038-1-ND","REQUIRED",""
"LED73","Philips Lumileds","LXML-PR01","Digikey","1416-1038-1-ND","REQUIRED",""
"LED74","Philips Lumileds","LXML-PR01","Digikey","1416-1038-1-ND","REQUIRED",""
"LED75","Philips Lumileds","LXML-PR01","Digikey","1416-1038-1-ND","REQUIRED",""
"LED76","Philips Lumileds","LXML-PR01","Digikey","1416-1038-1-ND","REQUIRED",""
"LED77","Philips Lumileds","LXML-PR01","Digikey","1416-1038-1-ND","REQUIRED",""
"LED78","Philips Lumileds","LXML-PR01","Digikey","1416-1038-1-ND","REQUIRED",""
"MH1","","","","","NOT PLACED","DO NOT PLACE"
"MH2","","","","","NOT PLACED","DO NOT PLACE"
"MH3","","","","","NOT PLACED","DO NOT PLACE"
"MH4","","","","","NOT PLACED","DO NOT PLACE"
"MH5","","","","","NOT PLACED","DO NOT PLACE"
"MH6","","","","","NOT PLACED","DO NOT PLACE"
"MH7","","","","","NOT PLACED","DO NOT PLACE"
"MH8","","","","","NOT PLACED","DO NOT PLACE"
"MH9","","","","","NOT PLACED","DO NOT PLACE"
"MH10","","","","","NOT PLACED","DO NOT PLACE"
"MH11","","","","","NOT PLACED","DO NOT PLACE"
"MH12","","","","","NOT PLACED","DO NOT PLACE"
"MH13","","","","","NOT PLACED","DO NOT PLACE"
"MH14","","","","","NOT PLACED","DO NOT PLACE"
"MH15","","","","","NOT PLACED","DO NOT PLACE"
"MH16","","","","","NOT PLACED","DO NOT PLACE"
"MH17","","","","","NOT PLACED","DO NOT PLACE"
"MH18","","","","","NOT PLACED","DO NOT PLACE"
"MH19","","","","","NOT PLACED","DO NOT PLACE"
"MH20","","","","","NOT PLACED","DO NOT PLACE"
"Q1","diodes inc","ZXMP6A13GTA","digikey","ZXMP6A13GCT-ND","REQUIRED",""
"Q2","diodes inc","ZXMP6A13GTA","digikey","ZXMP6A13GCT-ND","REQUIRED",""
"Q3","diodes inc","ZXMP6A13GTA","digikey","ZXMP6A13GCT-ND","REQUIRED",""
"Q4","diodes inc","ZXMP6A13GTA","digikey","ZXMP6A13GCT-ND","REQUIRED",""
"Q5","diodes inc","ZXMP6A13GTA","digikey","ZXMP6A13GCT-ND","REQUIRED",""
"R1","samsung","RC2012J221CS","digikey","1276-5515-1-ND","REQUIRED",""
"R2","","","","","NOT PLACED","DO NOT PLACE"
"R3","samsung","RC1608F8871CS","digikey","1276-4739-1-ND","REQUIRED",""
"R4","yageo","RC0603FR-071KL","digikey","311-1.00KHRCT-ND","REQUIRED",""
"R5","Yageo","RC0603FR-071ML","digikey","311-1.00MHRCT-ND","REQUIRED",""
"R6","yageo","RC0603FR-0723K7L","digikey","311-23.7KHRCT-ND","REQUIRED",""
"R7","samsung","RC2012J221CS","digikey","1276-5515-1-ND","REQUIRED",""
"R8","samsung","RC1608F8871CS","digikey","1276-4739-1-ND","REQUIRED",""
"R9","yageo","RC0603FR-071KL","digikey","311-1.00KHRCT-ND","REQUIRED",""
"R10","","","","","NOT PLACED","DO NOT PLACE"
"R11","Yageo","RC0603FR-071ML","digikey","311-1.00MHRCT-ND","REQUIRED",""
"R12","yageo","RC0603FR-0723K7L","digikey","311-23.7KHRCT-ND","REQUIRED",""
"R13","samsung","RC2012J221CS","digikey","1276-5515-1-ND","REQUIRED",""
"R14","samsung","RC1608F8871CS","digikey","1276-4739-1-ND","REQUIRED",""
"R15","yageo","RC0603FR-071KL","digikey","311-1.00KHRCT-ND","REQUIRED",""
"R16","","","","","NOT PLACED","DO NOT PLACE"
"R17","Yageo","RC0603FR-071ML","digikey","311-1.00MHRCT-ND","REQUIRED",""
"R18","yageo","RC0603FR-0723K7L","digikey","311-23.7KHRCT-ND","REQUIRED",""
"R19","samsung","RC2012J221CS","digikey","1276-5515-1-ND","REQUIRED",""
"R20","samsung","RC1608F8871CS","digikey","1276-4739-1-ND","REQUIRED",""
"R21","","","","","NOT PLACED","DO NOT PLACE"
"R22","Yageo","RC0603FR-071ML","digikey","311-1.00MHRCT-ND","REQUIRED",""
"R23","yageo","RC0603FR-0723K7L","digikey","311-23.7KHRCT-ND","REQUIRED",""
