Ref Name,Manufacturer,Manuf. Part Number,Side,Centre X,Centre Y,Rotation
C1,TDK,C5750X7R2A475M230KA,Top,-7.62,5.38,270
C2,TDK,C5750X7R2A475M230KA,Top,-6.77,5.48,270
C3,TDK,C5750X7R2A475M230KA,Top,-6.77,5.13,90
C4,murata,GRM188R72A104KA35D,Top,-7.62,4.93,0
C5,murata,GRM188R72A104KA35D,Top,-7.505,4.82,270
C6,murata,GRM188R72A104KA35D,Top,-7.22,4.68,180
C7,TDK,C5750X7R2A475M230KA,Top,-7.628,4.064,270
C8,TDK,C5750X7R2A475M230KA,Top,-6.779,4.164,270
C9,murata,GRM188R72A104KA35D,Top,-7.628,3.614,0
C10,murata,GRM188R72A104KA35D,Top,-7.51,3.505,270
C11,murata,GRM188R72A104KA35D,Top,-7.229,3.364,180
C12,TDK,C5750X7R2A475M230KA,Top,-6.779,3.813,90
C13,TDK,C5750X7R2A475M230KA,Top,-7.625,2.8,270
C14,murata,GRM188R72A104KA35D,Top,-7.625,2.35,0
C15,murata,GRM188R72A104KA35D,Top,-7.51,2.24,270
C16,murata,GRM188R72A104KA35D,Top,-7.225,2.1,180
C17,TDK,C5750X7R2A475M230KA,Top,-6.775,2.9,270
C18,TDK,C5750X7R2A475M230KA,Top,-6.775,2.55,90
C19,TDK,C5750X7R2A475M230KA,Top,-7.6,1.7,270
C20,murata,GRM188R72A104KA35D,Top,-7.6,1.25,0
C21,murata,GRM188R72A104KA35D,Top,-7.485,1.135,270
C22,TDK,C5750X7R2A475M230KA,Top,-6.75,1.8,270
C23,TDK,C5750X7R2A475M230KA,Top,-6.75,1.45,90
C24,murata,GRM188R72A104KA35D,Top,-7.2,1,180
C25,TDK,C5750X7R2A475M230KA,Top,-7.595,0.43,270
C26,TDK,C5750X7R2A475M230KA,Top,-6.745,0.53,270
C27,TDK,C5750X7R2A475M230KA,Top,-6.745,0.18,90
C28,murata,GRM188R72A104KA35D,Top,-7.595,-0.02,0
C29,murata,GRM188R72A104KA35D,Top,-7.48,-0.135,270
C30,murata,GRM188R72A104KA35D,Top,-7.195,-0.27,180
C31,Panasonic,EEEFK1H101GP,Top,-7.3,-0.7,0
C32,murata,GRM188R72A104KA35D,Top,-7.375,-4.485,0
C33,murata,GRM188R72A104KA35D,Top,-7.6,-4.9,180
D1,Vishay,10MQ060N,Top,-6.97,5.164,270
D2,Vishay,10MQ060N,Top,-6.979,3.847,270
D3,Vishay,10MQ060N,Top,-6.975,2.583,270
D4,Vishay,10MQ060N,Top,-6.95,1.484,270
D5,Vishay,10MQ060N,Top,-6.945,0.214,270
F1,FIDUCIAL,FIDUCIAL,Top,5.7,5.7,0
F2,FIDUCIAL,FIDUCIAL,Top,5.7,-5.7,0
F3,FIDUCIAL,FIDUCIAL,Top,-4.75,-5.7,0
F4,FIDUCIAL,FIDUCIAL,Top,-6.5,-1,0
F5,FIDUCIAL,FIDUCIAL,Top,-7.5,5.7,0
FS1,Schurter,31.8225,Top,-7.75,-0.65,270
J1,sullins connector,NPPC021KFXC-RC,Top,-6.305,5.165,270
J2,sullins connector,NPPC021KFXC-RC,Top,-6.306,3.861,270
J3,sullins connector,NPPC021KFXC-RC,Top,-6.303,2.588,270
J4,sullins connector,NPPC021KFXC-RC,Top,-6.283,1.483,270
J5,sullins connector,NPPC021KFXC-RC,Top,-6.28,0.215,270
J6,3M,N2510-6V0C-RB-WD,Top,-7.506,-1.563,270
J7,3M,N2510-6V0C-RB-WD,Top,-7.506,-2.538,270
J8,3M,N2510-6V0C-RB-WD,Top,-7.506,-3.438,270
J9,3M,N2510-6V0C-RB-WD,Top,-6.306,-4.407,270
L1,Taiyo Yuden,NRS8040T100MJGJV,Top,-7.22,5.179,270
L2,Taiyo Yuden,NRS8040T100MJGJV,Top,-7.229,3.863,270
L3,Taiyo Yuden,NRS8040T100MJGJV,Top,-7.225,2.599,270
L4,Taiyo Yuden,NRS8040T100MJGJV,Top,-7.2,1.499,270
L5,Taiyo Yuden,NRS8040T100MJGJV,Top,-7.195,0.229,270
L6,taiyo yuden,BRC2012T2R2MD,Top,-7.525,-4.495,180
LED1,Philips Lumileds,LXM3-PD01,Top,-5.196,3,0
LED2,Philips Lumileds,LXM3-PD01,Top,-5.196,4.5,0
LED3,Philips Lumileds,LXM3-PD01,Top,-3.897,5.25,0
LED4,Philips Lumileds,LXM3-PD01,Top,-1.299,5.25,0
LED5,Philips Lumileds,LXM3-PD01,Top,1.299,5.25,0
LED6,Philips Lumileds,LXM3-PD01,Top,3.897,5.25,0
LED7,Philips Lumileds,LXM3-PD01,Top,5.196,4.5,0
LED8,Philips Lumileds,LXM3-PD01,Top,5.196,3,0
LED9,Philips Lumileds,LXM3-PD01,Top,5.196,-3,0
LED10,Philips Lumileds,LXM3-PD01,Top,5.196,-4.5,0
LED11,Philips Lumileds,LXM3-PD01,Top,3.897,-5.25,0
LED12,Philips Lumileds,LXM3-PD01,Top,1.299,-5.25,0
LED13,Philips Lumileds,LXM3-PD01,Top,-1.299,-5.25,0
LED14,Philips Lumileds,LXM3-PD01,Top,-3.897,-5.25,0
LED15,Philips Lumileds,LXM3-PD01,Top,-5.196,-4.5,0
