"Name","Component","Side","Centre X","Centre Y","Rotation"
"D1","10MQ060N","Top","-6.970","5.164","270.00"
"D2","10MQ060N","Top","-6.979","3.847","270.00"
"D3","10MQ060N","Top","-6.975","2.583","270.00"
"D4","10MQ060N","Top","-6.950","1.484","270.00"
"D5","10MQ060N","Top","-6.945","0.214","270.00"
"C4","C 100nF","Top","-7.620","4.930","0.00"
"C5","C 100nF","Top","-7.505","4.820","270.00"
"C6","C 100nF","Top","-7.220","4.680","180.00"
"C9","C 100nF","Top","-7.628","3.614","0.00"
"C10","C 100nF","Top","-7.510","3.505","270.00"
"C11","C 100nF","Top","-7.229","3.364","180.00"
"C14","C 100nF","Top","-7.625","2.350","0.00"
"C15","C 100nF","Top","-7.510","2.240","270.00"
"C16","C 100nF","Top","-7.225","2.100","180.00"
"C20","C 100nF","Top","-7.600","1.250","0.00"
"C21","C 100nF","Top","-7.485","1.135","270.00"
"C24","C 100nF","Top","-7.200","1.000","180.00"
"C28","C 100nF","Top","-7.595","-0.020","0.00"
"C29","C 100nF","Top","-7.480","-0.135","270.00"
"C30","C 100nF","Top","-7.195","-0.270","180.00"
"C1","CAP2220","Top","-7.620","5.380","270.00"
"C2","CAP2220","Top","-6.770","5.480","270.00"
"C3","CAP2220","Top","-6.770","5.130","90.00"
"C7","CAP2220","Top","-7.628","4.064","270.00"
"C8","CAP2220","Top","-6.779","4.164","270.00"
"C12","CAP2220","Top","-6.779","3.813","90.00"
"C13","CAP2220","Top","-7.625","2.800","270.00"
"C17","CAP2220","Top","-6.775","2.900","270.00"
"C18","CAP2220","Top","-6.775","2.550","90.00"
"C19","CAP2220","Top","-7.600","1.700","270.00"
"C22","CAP2220","Top","-6.750","1.800","270.00"
"C23","CAP2220","Top","-6.750","1.450","90.00"
"C25","CAP2220","Top","-7.595","0.430","270.00"
"C26","CAP2220","Top","-6.745","0.530","270.00"
"C27","CAP2220","Top","-6.745","0.180","90.00"
"FS1","FUSE HOLDER OGN SM","Top","-7.750","-0.650","270.00"
"J1","HDR2PINSM","Top","-6.305","5.165","270.00"
"J2","HDR2PINSM","Top","-6.306","3.861","270.00"
"J3","HDR2PINSM","Top","-6.303","2.588","270.00"
"J4","HDR2PINSM","Top","-6.283","1.483","270.00"
"J5","HDR2PINSM","Top","-6.280","0.215","270.00"
"L1","L - NRS8040","Top","-7.220","5.179","270.00"
"L2","L - NRS8040","Top","-7.229","3.863","270.00"
"L3","L - NRS8040","Top","-7.225","2.599","270.00"
"L4","L - NRS8040","Top","-7.200","1.499","270.00"
"L5","L - NRS8040","Top","-7.195","0.229","270.00"
"U1","LT3518EFE_PBF","Top","-7.220","4.880","0.00"
"U2","LT3518EFE_PBF","Top","-7.229","3.563","0.00"
"U3","LT3518EFE_PBF","Top","-7.225","2.300","0.00"
"U4","LT3518EFE_PBF","Top","-7.200","1.200","0.00"
"U5","LT3518EFE_PBF","Top","-7.195","-0.070","0.00"
"LED1","LUXEON_REBEL+COOLPAD","Top","-5.196","3.000","0.00"
"LED2","LUXEON_REBEL+COOLPAD","Top","-5.196","4.500","0.00"
"LED3","LUXEON_REBEL+COOLPAD","Top","-3.897","5.250","0.00"
"LED4","LUXEON_REBEL+COOLPAD","Top","-1.299","5.250","0.00"
"LED5","LUXEON_REBEL+COOLPAD","Top","1.299","5.250","0.00"
"LED6","LUXEON_REBEL+COOLPAD","Top","3.897","5.250","0.00"
"LED7","LUXEON_REBEL+COOLPAD","Top","5.196","4.500","0.00"
"LED8","LUXEON_REBEL+COOLPAD","Top","5.196","3.000","0.00"
"LED9","LUXEON_REBEL+COOLPAD","Top","5.196","-3.000","0.00"
"LED10","LUXEON_REBEL+COOLPAD","Top","5.196","-4.500","0.00"
"LED11","LUXEON_REBEL+COOLPAD","Top","3.897","-5.250","0.00"
"LED12","LUXEON_REBEL+COOLPAD","Top","1.299","-5.250","0.00"
"LED13","LUXEON_REBEL+COOLPAD","Top","-1.299","-5.250","0.00"
"LED14","LUXEON_REBEL+COOLPAD","Top","-3.897","-5.250","0.00"
"LED15","LUXEON_REBEL+COOLPAD","Top","-5.196","-4.500","0.00"
"LED16","LUXEON_REBEL+COOLPAD","Top","-5.196","-3.000","0.00"
"LED17","LUXEON_REBEL+COOLPAD","Top","-5.196","1.500","0.00"
"LED18","LUXEON_REBEL+COOLPAD","Top","-5.196","0.000","0.00"
"LED19","LUXEON_REBEL+COOLPAD","Top","-5.196","-1.500","0.00"
"LED20","LUXEON_REBEL+COOLPAD","Top","-3.897","-3.750","0.00"
"LED21","LUXEON_REBEL+COOLPAD","Top","-2.598","-4.500","0.00"
"LED22","LUXEON_REBEL+COOLPAD","Top","0.000","-4.500","0.00"
"LED23","LUXEON_REBEL+COOLPAD","Top","2.598","-4.500","0.00"
"LED24","LUXEON_REBEL+COOLPAD","Top","3.897","-3.750","0.00"
"LED25","LUXEON_REBEL+COOLPAD","Top","5.196","-1.500","0.00"
"LED26","LUXEON_REBEL+COOLPAD","Top","5.196","0.000","0.00"
"LED27","LUXEON_REBEL+COOLPAD","Top","5.196","1.500","0.00"
"LED28","LUXEON_REBEL+COOLPAD","Top","3.897","3.750","0.00"
"LED29","LUXEON_REBEL+COOLPAD","Top","2.598","4.500","0.00"
"LED30","LUXEON_REBEL+COOLPAD","Top","0.000","4.500","0.00"
"LED31","LUXEON_REBEL+COOLPAD","Top","-2.598","4.500","0.00"
"LED32","LUXEON_REBEL+COOLPAD","Top","-3.897","3.750","0.00"
"LED33","LUXEON_REBEL+COOLPAD","Top","-1.299","3.750","0.00"
"LED34","LUXEON_REBEL+COOLPAD","Top","1.299","3.750","0.00"
"LED35","LUXEON_REBEL+COOLPAD","Top","2.598","3.000","0.00"
"LED36","LUXEON_REBEL+COOLPAD","Top","3.897","2.250","0.00"
"LED37","LUXEON_REBEL+COOLPAD","Top","3.897","0.750","0.00"
"LED38","LUXEON_REBEL+COOLPAD","Top","3.897","-0.750","0.00"
"LED39","LUXEON_REBEL+COOLPAD","Top","3.897","-2.250","0.00"
"LED40","LUXEON_REBEL+COOLPAD","Top","2.598","-3.000","0.00"
"LED41","LUXEON_REBEL+COOLPAD","Top","1.299","-3.750","0.00"
"LED42","LUXEON_REBEL+COOLPAD","Top","-1.299","-3.750","0.00"
"LED43","LUXEON_REBEL+COOLPAD","Top","-2.598","-3.000","0.00"
"LED44","LUXEON_REBEL+COOLPAD","Top","-3.897","-2.250","0.00"
"LED45","LUXEON_REBEL+COOLPAD","Top","-3.897","-0.750","0.00"
"LED46","LUXEON_REBEL+COOLPAD","Top","-3.897","0.750","0.00"
"LED47","LUXEON_REBEL+COOLPAD","Top","-3.897","2.250","0.00"
"LED48","LUXEON_REBEL+COOLPAD","Top","-2.598","3.000","0.00"
"LED49","LUXEON_REBEL+COOLPAD","Top","-2.598","1.500","0.00"
"LED50","LUXEON_REBEL+COOLPAD","Top","-2.598","0.000","0.00"
"LED51","LUXEON_REBEL+COOLPAD","Top","-2.598","-1.500","0.00"
"LED52","LUXEON_REBEL+COOLPAD","Top","-1.299","-2.250","0.00"
"LED53","LUXEON_REBEL+COOLPAD","Top","0.000","-3.000","0.00"
"LED54","LUXEON_REBEL+COOLPAD","Top","1.299","-2.250","0.00"
"LED55","LUXEON_REBEL+COOLPAD","Top","2.598","-1.500","0.00"
"LED56","LUXEON_REBEL+COOLPAD","Top","2.598","0.000","0.00"
"LED57","LUXEON_REBEL+COOLPAD","Top","2.598","1.500","0.00"
"LED58","LUXEON_REBEL+COOLPAD","Top","1.299","2.250","0.00"
"LED59","LUXEON_REBEL+COOLPAD","Top","0.000","3.000","0.00"
"LED60","LUXEON_REBEL+COOLPAD","Top","-1.299","2.250","0.00"
"LED61","LUXEON_REBEL+COOLPAD","Top","-1.299","0.750","0.00"
"LED62","LUXEON_REBEL+COOLPAD","Top","-1.299","-0.750","0.00"
"LED63","LUXEON_REBEL+COOLPAD","Top","0.000","-1.500","0.00"
"LED64","LUXEON_REBEL+COOLPAD","Top","1.299","-0.750","0.00"
"LED65","LUXEON_REBEL+COOLPAD","Top","1.299","0.750","0.00"
"LED66","LUXEON_REBEL+COOLPAD","Top","0.000","1.500","0.00"
"LED67","LUXEON_REBEL+COOLPAD","Top","-4.330","-1.500","0.00"
"LED68","LUXEON_REBEL+COOLPAD","Top","-1.732","-1.500","0.00"
"LED69","LUXEON_REBEL+COOLPAD","Top","1.732","-1.500","0.00"
"LED70","LUXEON_REBEL+COOLPAD","Top","1.708","1.500","0.00"
"LED71","LUXEON_REBEL+COOLPAD","Top","-1.732","1.500","0.00"
"LED72","LUXEON_REBEL+COOLPAD","Top","-4.330","1.500","0.00"
"LED73","LUXEON_REBEL+COOLPAD","Top","-1.732","4.500","0.00"
"LED74","LUXEON_REBEL+COOLPAD","Top","1.732","4.500","0.00"
"LED75","LUXEON_REBEL+COOLPAD","Top","4.330","1.500","0.00"
"LED76","LUXEON_REBEL+COOLPAD","Top","4.330","-1.500","0.00"
"LED77","LUXEON_REBEL+COOLPAD","Top","1.732","-4.500","0.00"
"LED78","LUXEON_REBEL+COOLPAD","Top","-1.732","-4.500","0.00"
"Q1","PMOS","Top","-6.475","4.850","180.00"
"Q2","PMOS","Top","-6.484","3.534","180.00"
"Q3","PMOS","Top","-6.480","2.270","180.00"
"Q4","PMOS","Top","-6.455","1.170","180.00"
"Q5","PMOS","Top","-6.450","-0.100","180.00"
"R1","R 0.1W SMTF 220","Top","-7.620","5.130","180.00"
"R7","R 0.1W SMTF 220","Top","-7.628","3.813","180.00"
"R13","R 0.1W SMTF 220","Top","-7.625","2.550","180.00"
"R19","R 0.1W SMTF 220","Top","-7.600","1.450","180.00"
"R25","R 0.1W SMTF 220","Top","-7.595","0.180","180.00"
"R4","R 0.063W SMTF 1.0K","Top","-7.120","4.680","180.00"
"R9","R 0.063W SMTF 1.0K","Top","-7.128","3.364","180.00"
"R15","R 0.063W SMTF 1.0K","Top","-7.125","2.100","180.00"
"R24","R 0.063W SMTF 1.0K","Top","-7.100","1.000","180.00"
"R28","R 0.063W SMTF 1.0K","Top","-7.095","-0.270","180.00"
"R5","R 0.063W SMTF 1M","Top","-6.920","4.860","180.00"
"R11","R 0.063W SMTF 1M","Top","-6.928","3.543","180.00"
"R17","R 0.063W SMTF 1M","Top","-6.925","2.280","180.00"
"R22","R 0.063W SMTF 1M","Top","-6.900","1.180","180.00"
"R29","R 0.063W SMTF 1M","Top","-6.895","-0.090","180.00"
"R3","R 0.063W SMTF 9K","Top","-7.505","4.905","270.00"
"R8","R 0.063W SMTF 9K","Top","-7.510","3.590","270.00"
"R14","R 0.063W SMTF 9K","Top","-7.510","2.325","270.00"
"R20","R 0.063W SMTF 9K","Top","-7.485","1.230","270.00"
"R27","R 0.063W SMTF 9K","Top","-7.485","-0.040","270.00"
"R6","R 0.063W SMTF 22K","Top","-6.845","4.860","0.00"
"R12","R 0.063W SMTF 22K","Top","-6.854","3.543","0.00"
"R18","R 0.063W SMTF 22K","Top","-6.850","2.280","0.00"
"R23","R 0.063W SMTF 22K","Top","-6.825","1.180","0.00"
"R30","R 0.063W SMTF 22K","Top","-6.820","-0.090","0.00"
